PID,trip start,trip end,travel_time,dist_per_trip,n_ACC,n_BRK,n_HTURN,speed_mean,speed_sd,speed_max,rpm_mean,rpm_sd,rpm_max,acc_value,brk_value,hturn_value,egl_mean,egl_sd,egl_max,air_mean,air_sd,air_max,fuel_mean,fuel_sd,fuel_max,thro_mean,thro_sd,thro_max,trip start formatted,trip end formatted,crossinglane,nearcollision,smoking,eyeclosing,mobilephone
1009 1010,2022-06-01 13:29:00,2022-06-01 13:52:00,1406.443518,15.021497,3,3,7,41.478261,34.664456,92.0,1369.445652,604.712234,2076.0,0.342013,-0.371615,0.346044,27.473699,18.113891,100.0,32.784173,1.278374,36.0,69.874453,6.067238,87.843137,21.12532,11.471878,60,20220601132900,20220601135200,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-03 14:05:00,2022-06-03 14:13:00,534.734225,2.980678,2,0,3,19.875,26.346252,72.0,953.125,896.275129,2024.5,0.363158,0.0,0.315023,17.998424,18.78296,93.333333,24.207547,0.409432,25.0,65.926748,5.411885,75.686275,17.794118,3.636336,23.921569,20220603140500,20220603141300,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-03 14:48:00,2022-06-03 14:56:00,455.779298,3.151665,1,1,3,22.5,25.33208,66.0,1018.71875,719.114913,1908.5,0.336272,-0.314638,0.319889,19.211389,20.00735,91.372549,23.311111,0.468179,24.0,67.816993,6.45864,80.784314,17.254902,2.780879,21.176471,20220603144800,20220603145600,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-06 09:42:00,2022-06-06 09:48:00,376.179314,2.388888,1,1,2,25.166667,39.050822,79.0,936.041667,854.591078,1993.5,0.349767,-0.303665,0.328589,20.57542,18.76733,73.333333,31.342105,0.780724,33.0,65.180599,3.986904,73.72549,17.647059,3.16653,22.745098,20220606094200,20220606094800,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-06 10:33:00,2022-06-06 10:42:00,560.03198,2.940182,2,1,2,10.6,18.875028,55.0,878.65,555.219466,1868.0,0.323399,-0.381193,0.314917,23.855042,17.442475,69.019608,35.381818,1.224607,38.0,66.345811,5.569042,81.960784,16.431373,1.871154,18.431373,20220606103300,20220606104200,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-06 10:47:00,2022-06-06 11:18:00,1880.323511,13.352831,1,1,3,25.4375,33.54144,94.0,1199.28125,553.619486,2358.5,0.32914,-0.36972,0.330278,25.478416,13.541189,100.0,36.043011,2.388775,41.0,65.16129,4.270552,85.882353,16.997549,7.77938,56.470588,20220606104700,20220606111800,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-06 11:52:00,2022-06-06 12:03:00,658.695175,4.542207,2,0,2,16.0,26.814175,71.0,1016.477273,625.808741,1863.75,0.326305,0.0,0.348764,23.831699,17.610925,85.490196,35.323077,0.849774,37.0,63.511312,6.091238,78.823529,17.040998,2.121736,21.568627,20220606115200,20220606120300,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-06 12:52:00,2022-06-06 13:11:00,1153.041248,10.318674,1,1,6,28.3,30.492622,86.0,1236.2,596.484413,2269.0,0.351001,-0.443561,0.355471,25.671355,16.969266,93.72549,35.578947,1.857273,40.0,61.396629,4.697208,77.647059,18.294118,9.512086,56.470588,20220606125200,20220606131100,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 15:43:00,2022-06-22 15:56:00,809.048185,5.870724,1,0,4,21.857143,28.557249,81.0,1145.696429,636.954383,2122.0,0.407001,0.0,0.352946,25.789938,16.622156,100.0,34.65,2.424036,44.0,52.411765,4.629184,65.882353,17.67507,5.6901,34.901961,20220622154300,20220622155600,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 16:08:00,2022-06-22 16:19:00,665.773235,5.229198,2,1,2,27.363636,27.00101,78.0,1129.886364,689.401501,2327.0,0.345993,-0.361728,0.339368,24.944267,18.38081,75.686275,34.772727,3.219152,42.0,52.317291,6.687034,73.72549,17.254902,5.658485,32.156863,20220622160800,20220622161900,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 17:32:00,2022-06-22 17:53:00,1225.645,10.021176,2,1,4,24.7,33.373642,81.0,1180.075,606.791877,2055.25,0.414711,-0.423251,0.408961,27.072858,19.015575,100.0,32.371901,0.817845,34.0,50.630368,5.576079,71.764706,17.45098,5.183065,32.156863,20220622173200,20220622175300,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 18:58:00,2022-06-22 19:06:00,502.563852,4.598989,1,1,2,32.5,33.662187,72.0,1076.75,765.401855,1996.75,0.331907,-0.359639,0.342542,20.238619,19.72646,97.647059,30.34,0.519419,32.0,48.109804,5.759932,66.666667,18.088235,5.684584,30.980392,20220622185800,20220622190600,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 19:18:00,2022-06-22 19:24:00,348.705239,2.196042,2,0,1,24.0,31.272992,67.0,906.791667,747.85148,1683.75,0.318462,0.0,0.349767,18.473389,18.986469,83.529412,30.323529,0.638207,31.0,48.16609,4.478015,57.647059,15.686275,2.913596,18.431373,20220622191800,20220622192400,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 19:55:00,2022-06-22 19:59:00,278.266251,0.211458,1,0,0,0.8,1.788854,4.0,898.7,4.378213,904.5,0.335111,0.0,0.0,27.31967,5.569658,46.666667,30.0,0.0,30.0,48.293391,2.177208,49.803922,14.117647,0.679236,15.294118,20220622195500,20220622195900,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 20:00:00,2022-06-22 20:02:00,130.644646,0.048036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843137,11.091887,81.568627,29.769231,0.438529,30.0,47.60181,1.556641,48.627451,18.431373,0.0,18.431373,20220622200000,20220622200200,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-22 20:07:00,2022-06-22 20:15:00,515.56019,3.29157,1,1,2,24.25,23.462736,71.0,1214.25,879.267755,2325.25,0.364171,-0.440757,0.351409,21.860377,18.987057,87.058824,29.196078,0.566378,30.0,48.181469,6.740089,62.745098,19.509804,5.712775,29.411765,20220622200700,20220622201500,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-23 13:03:00,2022-06-23 13:20:00,1041.121177,10.360571,1,2,3,28.5,34.013155,96.0,1249.7125,603.424053,2022.0,0.402021,-0.319771,0.322187,25.271965,17.798107,100.0,37.31068,2.520617,48.0,45.471342,5.293414,63.921569,19.27451,9.020303,54.509804,20220623130300,20220623132000,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-23 15:13:00,2022-06-23 15:32:00,1128.699836,10.561291,3,4,6,31.736842,28.86721,97.0,1239.118421,627.800655,2308.75,0.345043,-0.322486,0.366518,28.113018,18.849718,94.509804,36.585586,2.150976,44.0,43.75552,5.890084,57.647059,18.906089,6.631432,35.294118,20220623151300,20220623153200,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-23 16:07:00,2022-06-23 16:14:00,440.460883,2.486476,1,0,3,8.857143,12.280453,31.0,966.821429,805.15138,2023.5,0.380253,0.0,0.358242,25.716355,20.726483,85.882353,38.093023,2.644077,43.0,41.997264,4.345704,55.686275,20.896359,7.555898,35.294118,20220623160700,20220623161400,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-23 16:33:00,2022-06-23 16:41:00,479.635881,3.034806,2,2,5,9.0,18.083141,48.0,960.571429,827.419945,2115.75,0.381657,-0.354403,0.375413,26.390629,22.611896,95.686275,34.553191,0.774835,36.0,42.069253,6.785315,55.686275,31.540616,28.432371,80.392157,20220623163300,20220623164100,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-24 09:13:00,2022-06-24 09:44:00,1876.488757,14.374346,6,3,7,26.612903,30.503199,90.0,1314.596774,667.617807,2810.5,0.327596,-0.382796,0.348476,25.724652,14.44516,93.333333,32.026882,0.814947,33.0,39.679528,3.944373,54.901961,18.583175,8.422204,46.666667,20220624091300,20220624094400,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-24 11:02:00,2022-06-24 11:22:00,1216.418433,8.68111,0,1,2,28.47619,20.066437,68.0,1239.738095,505.521318,1898.25,0.0,-0.345682,0.330663,21.733576,13.304642,78.823529,34.283333,0.567811,36.0,38.839869,3.74746,50.980392,17.217554,4.949425,35.294118,20220624110200,20220624112200,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-24 13:07:00,2022-06-24 13:36:00,1786.648085,16.428595,1,2,2,30.862069,30.35707,78.0,1343.741379,556.567263,1995.0,0.382588,-0.365529,0.332268,23.628197,14.164681,96.862745,35.703911,0.998052,38.0,36.492496,3.485249,50.980392,18.187965,5.21037,40,20220624130700,20220624133600,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-24 15:04:00,2022-06-24 15:10:00,367.271883,2.703599,1,1,2,23.333333,27.097355,63.0,974.375,831.009037,1852.25,0.307271,-0.354681,0.331273,20.788357,22.746065,90.980392,39.027778,1.275844,42.0,34.281046,4.743431,44.705882,16.928105,4.831122,25.098039,20220624150400,20220624151000,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-25 11:02:00,2022-06-25 11:57:00,3286.591344,52.983863,7,1,6,56.0,44.862473,127.0,1469.689815,514.804471,2436.0,0.331319,-0.333351,0.357853,29.303955,19.486191,100.0,35.409231,1.257781,42.0,30.574962,3.759962,46.666667,20.239651,11.275156,77.647059,20220625110200,20220625115700,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-25 13:29:00,2022-06-25 13:37:00,523.016373,2.527325,0,1,4,15.444444,21.703174,69.0,954.138889,612.528572,1715.25,0.0,-0.352075,0.342489,25.808237,20.187785,88.235294,36.634615,1.343523,40.0,27.262443,3.563415,40.0,17.385621,2.786798,23.529412,20220625132900,20220625133700,0.0,0.0,0.0,0.0,0.0
1009 1010,2022-06-25 13:40:00,2022-06-25 14:11:00,1831.902333,41.308108,3,2,1,80.433333,50.817241,138.0,1579.033333,587.712231,2393.25,0.384028,-0.535914,0.365046,34.811628,22.006283,100.0,33.428571,1.944778,37.0,98.1922,2.909234,100.0,23.647059,12.918475,80.392157,20220625134000,20220625141100,0.0,0.0,0.0,0.0,0.0
